ICD-9 Code,is_ICD-9,ICD-10 Chapter
C8339,FALSE,C83
780.3,TRUE,R41
S20219,FALSE,S20
T783XXA,FALSE,T78
715.16,TRUE,M19
G8929,FALSE,G89
M858,FALSE,M85
M75,FALSE,M75
D43,FALSE,D43
T8454XD,FALSE,T84
M216,FALSE,M21
K7200,FALSE,K72
M628,FALSE,M62
F31,FALSE,F31
D519,FALSE,D51
S4210,FALSE,S42
344,TRUE,G81
M2551,FALSE,M25
G50,FALSE,G50
R5383,FALSE,R53
H81393,FALSE,H81
S31,FALSE,S31
T84011,FALSE,T84
I60,FALSE,I60
I63322,FALSE,I63
M32,FALSE,M32
C82,FALSE,C82
S32012D,FALSE,S32
S32019,FALSE,S32
T560,FALSE,T56
C43,FALSE,C43
S22070D,FALSE,S22
I6939,FALSE,I69
A31,FALSE,A31
G40909,FALSE,G40
I693,FALSE,I69
G232,FALSE,G23
A8100,FALSE,A81
K7210,FALSE,K72
Z90,FALSE,Z90
J459,FALSE,J45
M800,FALSE,M80
J90,FALSE,J90
C228,FALSE,C22
T21,FALSE,T21
Z85,FALSE,Z85
I63539,FALSE,I63
J43,FALSE,J43
F341,FALSE,F34
N400,FALSE,N40
E51,FALSE,E51
Q249,FALSE,Q24
A81,FALSE,A81
B965,FALSE,B96
M1281,FALSE,M12
K7290,FALSE,K72
C52,FALSE,C52
M24,FALSE,M24
M1993,FALSE,M19
S2222XD,FALSE,S22
R911,FALSE,R91
E1065,FALSE,E10
S42202D,FALSE,S42
I6201,FALSE,I62
S32050D,FALSE,S32
R22,FALSE,R22
D721,FALSE,D72
M4722,FALSE,M47
I15,FALSE,I15
F339,FALSE,F33
C50111,FALSE,C50
K81,FALSE,K81
S52301A,FALSE,S52
R131,FALSE,R13
I06,FALSE,I06
C7910,FALSE,C79
C182,FALSE,C18
G95,FALSE,G95
M96,FALSE,M96
Z79,FALSE,Z79
G9389,FALSE,G93
290.21,TRUE,F03
G43709,FALSE,G43
727.61,TRUE,M66
R569,FALSE,R56
S42294,FALSE,S42
410.9,TRUE,I21
J960,FALSE,J96
C410,FALSE,C41
I428,FALSE,I42
M8448,FALSE,M84
L03116,FALSE,L03
M99,FALSE,M99
M4625,FALSE,M46
S35,FALSE,S35
M50,FALSE,M50
H540,FALSE,H54
G9349,FALSE,G93
Z9013,FALSE,Z90
M5137,FALSE,M51
K7581,FALSE,K75
C30,FALSE,C30
L989,FALSE,L98
M4850XG,FALSE,M48
Z4781,FALSE,Z47
S121,FALSE,S12
M77,FALSE,M77
344.9,TRUE,G81
C83,FALSE,C83
805.6,TRUE,S12
